sensor_id,temperature,location,timestamp
1,32.25,living room,4/29/2022
2,55.06,living room,5/13/2022
3,55.85,outdoor,7/1/2022
4,62.62,outdoor,8/5/2022
5,50.95,living room,11/15/2022
6,46.28,bedroom,2/28/2022
7,69.39,living room,9/20/2022
8,53.28,living room,6/18/2022
9,90.86,outdoor,8/25/2022
10,94.4,kitchen,6/6/2022
11,9.68,outdoor,9/11/2022
12,95.58,living room,2/24/2022
13,37.27,living room,3/1/2022
14,91.09,living room,8/19/2022
15,-6.69,living room,8/4/2022
16,79.5,kitchen,4/19/2022
17,33.24,outdoor,12/15/2022
18,30.82,living room,8/6/2022
19,-7.69,bedroom,6/18/2022
20,55.61,outdoor,8/10/2022
21,60.53,kitchen,5/13/2022
22,51.1,living room,2/26/2022
23,4.63,living room,9/8/2022
24,94.43,bedroom,9/19/2022
25,63.06,kitchen,11/8/2022
26,89.96,kitchen,2/2/2022
27,51.33,bedroom,5/7/2022
28,22.15,kitchen,9/25/2022
29,11.56,kitchen,7/23/2022
30,-16.27,outdoor,10/23/2022
31,78.1,outdoor,8/23/2022
32,60.46,kitchen,11/29/2022
33,68.79,kitchen,2/14/2022
34,1.47,kitchen,10/23/2022
35,66.72,bedroom,1/20/2022
36,69.79,living room,2/7/2022
37,35.55,outdoor,10/28/2022
38,30.34,bedroom,5/2/2022
39,63.26,living room,3/17/2022
40,67.38,kitchen,4/23/2022
41,99.37,living room,9/27/2022
42,7.41,outdoor,8/30/2022
43,1.98,outdoor,5/11/2022
44,-12.36,outdoor,8/7/2022
45,20.09,kitchen,9/13/2022
46,-18.78,kitchen,6/8/2022
47,31.93,outdoor,1/23/2022
48,91.41,outdoor,3/30/2022
49,2.45,outdoor,11/25/2022
50,2.08,outdoor,3/13/2022
51,55.66,bedroom,1/5/2022
52,50.57,bedroom,1/18/2022
53,39.31,bedroom,7/25/2022
54,-2.8,outdoor,10/9/2022
55,32.42,bedroom,9/20/2022
56,90.14,kitchen,8/29/2022
57,21.33,outdoor,2/2/2022
58,62.19,living room,1/22/2022
59,58.83,living room,10/3/2022
60,46.62,outdoor,11/24/2022
61,-1.05,kitchen,9/22/2022
62,30.79,bedroom,5/1/2022
63,42.84,outdoor,7/15/2022
64,76.01,living room,8/15/2022
65,13.87,living room,8/12/2022
66,33.81,kitchen,9/5/2022
67,8.57,outdoor,1/24/2022
68,6.54,outdoor,1/29/2022
69,76.97,bedroom,7/4/2022
70,56.81,outdoor,11/12/2022
71,72.53,outdoor,6/15/2022
72,31.31,outdoor,10/24/2022
73,37.2,living room,5/3/2022
74,32.7,kitchen,5/3/2022
75,-7.95,kitchen,7/8/2022
76,39.72,living room,1/3/2022
77,-10.88,outdoor,7/18/2022
78,42.75,outdoor,1/25/2022
79,43.13,kitchen,6/24/2022
80,-7.5,kitchen,10/4/2022
81,89.58,bedroom,6/16/2022
82,-6.86,living room,4/27/2022
83,-2.95,kitchen,1/6/2022
84,19.09,living room,8/24/2022
85,96.16,bedroom,11/27/2022
86,45.4,living room,11/10/2022
87,22.96,bedroom,1/25/2022
88,79.2,living room,5/3/2022
89,69.48,outdoor,9/21/2022
90,-2.09,bedroom,2/13/2022
91,13.33,outdoor,8/1/2022
92,71.78,bedroom,7/17/2022
93,-13.0,outdoor,2/27/2022
94,-11.21,outdoor,7/10/2022
95,-7.96,outdoor,12/21/2022
96,27.69,kitchen,2/14/2022
97,44.69,bedroom,10/23/2022
98,43.99,bedroom,9/11/2022
99,44.64,kitchen,3/26/2022
100,-14.95,living room,5/12/2022
101,54.3,bedroom,3/24/2022
102,3.21,living room,10/18/2022
103,-9.35,bedroom,1/3/2022
104,38.6,outdoor,3/12/2022
105,46.76,living room,1/31/2022
106,46.41,kitchen,9/5/2022
107,5.66,outdoor,8/16/2022
108,32.11,bedroom,12/30/2022
109,17.41,kitchen,1/25/2022
110,15.13,outdoor,8/23/2022
111,35.47,living room,6/13/2022
112,79.78,kitchen,10/17/2022
113,13.41,outdoor,3/11/2022
114,46.6,outdoor,9/15/2022
115,-5.92,bedroom,8/3/2022
116,40.69,kitchen,3/2/2022
117,70.29,kitchen,11/8/2022
118,58.71,outdoor,6/12/2022
119,80.73,outdoor,9/27/2022
120,35.32,living room,11/19/2022
121,51.18,outdoor,8/18/2022
122,97.33,kitchen,8/15/2022
123,94.3,kitchen,11/19/2022
124,90.3,kitchen,3/18/2022
125,87.09,living room,4/12/2022
126,-13.51,kitchen,2/16/2022
127,19.48,kitchen,6/2/2022
128,-0.08,outdoor,10/2/2022
129,75.42,kitchen,4/1/2022
130,32.68,outdoor,4/21/2022
131,-2.51,kitchen,1/5/2022
132,-9.99,bedroom,11/9/2022
133,-4.7,outdoor,8/24/2022
134,-6.6,living room,4/4/2022
135,77.34,bedroom,5/9/2022
136,16.19,outdoor,10/21/2022
137,80.78,kitchen,10/7/2022
138,32.43,outdoor,12/12/2022
139,13.67,kitchen,11/26/2022
140,39.06,living room,4/7/2022
141,50.91,living room,3/31/2022
142,89.0,kitchen,5/31/2022
143,61.67,living room,6/24/2022
144,24.13,outdoor,4/7/2022
145,60.24,outdoor,6/7/2022
146,90.27,bedroom,7/17/2022
147,35.83,outdoor,4/28/2022
148,55.34,kitchen,10/15/2022
149,52.57,kitchen,8/9/2022
150,43.5,kitchen,8/4/2022
151,32.5,bedroom,12/14/2022
152,8.98,kitchen,8/27/2022
153,33.69,living room,8/12/2022
154,17.17,living room,8/12/2022
155,22.19,outdoor,8/22/2022
156,78.09,outdoor,11/26/2022
157,-11.29,kitchen,9/19/2022
158,55.65,bedroom,6/20/2022
159,43.41,bedroom,2/27/2022
